rank,title,year,tmdb_id,notes
1,Snow White and the Seven Dwarfs,1937,,Essential animation
2,Pinocchio,1940,,Essential animation
3,Fantasia,1940,,Essential animation
4,Dumbo,1941,,Essential animation
5,Bambi,1942,,Essential animation
6,Yellow Submarine,1968,,Essential animation
7,Fritz the Cat,1972,,Essential animation
8,Fantastic Planet,1973,,Essential animation
9,Watership Down,1978,,Essential animation
10,The Secret of NIMH,1982,,Essential animation
11,Nausicaa of the Valley of the Wind,1984,,Essential animation
12,Castle in the Sky,1986,,Essential animation
13,Akira,1988,,Essential animation
14,My Neighbor Totoro,1988,,Essential animation
15,Kiki's Delivery Service,1989,,Essential animation
16,Beauty and the Beast,1991,,Essential animation
17,Porco Rosso,1992,,Essential animation
18,The Nightmare Before Christmas,1993,,Essential animation
19,Toy Story,1995,,Essential animation
20,Ghost in the Shell,1995,,Essential animation
21,Perfect Blue,1997,,Essential animation
22,Princess Mononoke,1997,,Essential animation
23,The Iron Giant,1999,,Essential animation
24,Spirited Away,2001,,Essential animation
25,Finding Nemo,2003,,Essential animation
26,The Incredibles,2004,,Essential animation
27,Wallace & Gromit: The Curse of the Were-Rabbit,2005,,Essential animation
28,Persepolis,2007,,Essential animation
29,WALL-E,2008,,Essential animation
30,Fantastic Mr. Fox,2009,,Essential animation
31,The Secret of Kells,2009,,Essential animation
32,Rango,2011,,Essential animation
33,The Tale of the Princess Kaguya,2013,,Essential animation
34,Spider-Man: Into the Spider-Verse,2018,,Essential animation
35,Wolfwalkers,2020,,Essential animation
