rank,title,year,tmdb_id,notes
1,Wings,1927,28966,Academy Award for Best Picture winner; film year 1927; 1st ceremony; source Wikipedia/Academy table
2,7th Heaven,1927,82474,Academy Award for Best Picture nominee; film year 1927; 1st ceremony; source Wikipedia/Academy table
3,The Racket,1927,27777,Academy Award for Best Picture nominee; film year 1927; 1st ceremony; source Wikipedia/Academy table
4,The Broadway Melody,1928,65203,Academy Award for Best Picture winner; film year 1928; 2nd ceremony; source Wikipedia/Academy table
5,Alibi,1928,13847,Academy Award for Best Picture nominee; film year 1928; 2nd ceremony; source Wikipedia/Academy table
6,The Hollywood Revue,1928,31678,Academy Award for Best Picture nominee; film year 1928; 2nd ceremony; source Wikipedia/Academy table
7,In Old Arizona,1928,83989,Academy Award for Best Picture nominee; film year 1928; 2nd ceremony; source Wikipedia/Academy table
8,The Patriot,1928,83990,Academy Award for Best Picture nominee; film year 1928; 2nd ceremony; source Wikipedia/Academy table
9,All Quiet on the Western Front,1929,143,Academy Award for Best Picture winner; film year 1929; 3rd ceremony; source Wikipedia/Academy table
10,The Big House,1929,47250,Academy Award for Best Picture nominee; film year 1929; 3rd ceremony; source Wikipedia/Academy table
11,Disraeli,1929,84274,Academy Award for Best Picture nominee; film year 1929; 3rd ceremony; source Wikipedia/Academy table
12,The Divorcee,1929,80708,Academy Award for Best Picture nominee; film year 1929; 3rd ceremony; source Wikipedia/Academy table
13,The Love Parade,1929,51759,Academy Award for Best Picture nominee; film year 1929; 3rd ceremony; source Wikipedia/Academy table
14,Cimarron,1930,42861,Academy Award for Best Picture winner; film year 1930; 4th ceremony; source Wikipedia/Academy table
15,East Lynne,1930,84277,Academy Award for Best Picture nominee; film year 1930; 4th ceremony; source Wikipedia/Academy table
16,The Front Page,1930,42814,Academy Award for Best Picture nominee; film year 1930; 4th ceremony; source Wikipedia/Academy table
17,Skippy,1930,84295,Academy Award for Best Picture nominee; film year 1930; 4th ceremony; source Wikipedia/Academy table
18,Trader Horn,1930,84296,Academy Award for Best Picture nominee; film year 1930; 4th ceremony; source Wikipedia/Academy table
19,Grand Hotel,1931,33680,Academy Award for Best Picture winner; film year 1931; 5th ceremony; source Wikipedia/Academy table
20,Arrowsmith,1931,84298,Academy Award for Best Picture nominee; film year 1931; 5th ceremony; source Wikipedia/Academy table
