rank,title,year,tmdb_id,notes
1,The Passion of Joan of Arc,1928,,Essential boutique/restoration cinema
2,The Rules of the Game,1939,,Essential boutique/restoration cinema
3,Children of Paradise,1945,,Essential boutique/restoration cinema
4,Black Narcissus,1947,,Essential boutique/restoration cinema
5,The Red Shoes,1948,,Essential boutique/restoration cinema
6,Tokyo Story,1953,,Essential boutique/restoration cinema
7,Seven Samurai,1954,,Essential boutique/restoration cinema
8,The Night of the Hunter,1955,,Essential boutique/restoration cinema
9,The 400 Blows,1959,,Essential boutique/restoration cinema
10,Breathless,1960,,Essential boutique/restoration cinema
11,Harakiri,1962,,Essential boutique/restoration cinema
12,8 1/2,1963,,Essential boutique/restoration cinema
13,Cleo from 5 to 7,1962,,Essential boutique/restoration cinema
14,Persona,1966,,Essential boutique/restoration cinema
15,Andrei Rublev,1966,,Essential boutique/restoration cinema
16,The Battle of Algiers,1966,,Essential boutique/restoration cinema
17,Playtime,1967,,Essential boutique/restoration cinema
18,Le Samourai,1967,,Essential boutique/restoration cinema
19,Army of Shadows,1969,,Essential boutique/restoration cinema
20,Stalker,1979,,Essential boutique/restoration cinema
21,Paris Texas,1984,,Essential boutique/restoration cinema
22,Blue Velvet,1986,,Essential boutique/restoration cinema
23,Wings of Desire,1987,,Essential boutique/restoration cinema
24,Do the Right Thing,1989,,Essential boutique/restoration cinema
25,The Double Life of Veronique,1991,,Essential boutique/restoration cinema
26,Hoop Dreams,1994,,Essential boutique/restoration cinema
27,Taste of Cherry,1997,,Essential boutique/restoration cinema
28,In the Mood for Love,2000,,Essential boutique/restoration cinema
29,Yi Yi,2000,,Essential boutique/restoration cinema
30,Mulholland Drive,2001,,Essential boutique/restoration cinema
31,Memories of Murder,2003,,Essential boutique/restoration cinema
32,The Tree of Life,2011,,Essential boutique/restoration cinema
33,Portrait of a Lady on Fire,2019,,Essential boutique/restoration cinema
34,Drive My Car,2021,,Essential boutique/restoration cinema
35,Aftersun,2022,,Essential boutique/restoration cinema
