rank,title,year,tmdb_id,notes
1,Freaks,1932,,Essential cult and midnight cinema
2,Night of the Living Dead,1968,,Essential cult and midnight cinema
3,El Topo,1970,,Essential cult and midnight cinema
4,Pink Flamingos,1972,,Essential cult and midnight cinema
5,The Harder They Come,1972,,Essential cult and midnight cinema
6,The Wicker Man,1973,,Essential cult and midnight cinema
7,Phantom of the Paradise,1974,,Essential cult and midnight cinema
8,The Texas Chain Saw Massacre,1974,,Essential cult and midnight cinema
9,The Rocky Horror Picture Show,1975,,Essential cult and midnight cinema
10,Eraserhead,1977,,Essential cult and midnight cinema
11,Suspiria,1977,,Essential cult and midnight cinema
12,House,1977,,Essential cult and midnight cinema
13,Dawn of the Dead,1978,,Essential cult and midnight cinema
14,The Warriors,1979,,Essential cult and midnight cinema
15,Escape from New York,1981,,Essential cult and midnight cinema
16,The Evil Dead,1981,,Essential cult and midnight cinema
17,Repo Man,1984,,Essential cult and midnight cinema
18,This Is Spinal Tap,1984,,Essential cult and midnight cinema
19,Brazil,1985,,Essential cult and midnight cinema
20,Big Trouble in Little China,1986,,Essential cult and midnight cinema
21,Withnail and I,1987,,Essential cult and midnight cinema
22,RoboCop,1987,,Essential cult and midnight cinema
23,They Live,1988,,Essential cult and midnight cinema
24,Heathers,1989,,Essential cult and midnight cinema
25,The Killer,1989,,Essential cult and midnight cinema
26,Hardware,1990,,Essential cult and midnight cinema
27,Point Break,1991,,Essential cult and midnight cinema
28,Dead Alive,1992,,Essential cult and midnight cinema
29,Dazed and Confused,1993,,Essential cult and midnight cinema
30,Clerks,1994,,Essential cult and midnight cinema
31,The Crow,1994,,Essential cult and midnight cinema
32,Showgirls,1995,,Essential cult and midnight cinema
33,The Big Lebowski,1998,,Essential cult and midnight cinema
34,Donnie Darko,2001,,Essential cult and midnight cinema
35,Battle Royale,2000,,Essential cult and midnight cinema
