rank,title,year,tmdb_id,notes
1,Snow White and the Seven Dwarfs,1937,,Disney Animation theatrical canon
2,Pinocchio,1940,,Disney Animation theatrical canon
3,Fantasia,1940,,Disney Animation theatrical canon
4,Dumbo,1941,,Disney Animation theatrical canon
5,Bambi,1942,,Disney Animation theatrical canon
6,Saludos Amigos,1942,,Disney Animation theatrical canon
7,The Three Caballeros,1944,,Disney Animation theatrical canon
8,Make Mine Music,1946,,Disney Animation theatrical canon
9,Fun and Fancy Free,1947,,Disney Animation theatrical canon
10,Melody Time,1948,,Disney Animation theatrical canon
11,The Adventures of Ichabod and Mr. Toad,1949,,Disney Animation theatrical canon
12,Cinderella,1950,,Disney Animation theatrical canon
13,Alice in Wonderland,1951,,Disney Animation theatrical canon
14,Peter Pan,1953,,Disney Animation theatrical canon
15,Lady and the Tramp,1955,,Disney Animation theatrical canon
16,Sleeping Beauty,1959,,Disney Animation theatrical canon
17,One Hundred and One Dalmatians,1961,,Disney Animation theatrical canon
18,The Sword in the Stone,1963,,Disney Animation theatrical canon
19,The Jungle Book,1967,,Disney Animation theatrical canon
20,The Aristocats,1970,,Disney Animation theatrical canon
21,Robin Hood,1973,,Disney Animation theatrical canon
22,The Many Adventures of Winnie the Pooh,1977,,Disney Animation theatrical canon
23,The Rescuers,1977,,Disney Animation theatrical canon
24,The Fox and the Hound,1981,,Disney Animation theatrical canon
25,The Black Cauldron,1985,,Disney Animation theatrical canon
26,The Great Mouse Detective,1986,,Disney Animation theatrical canon
27,Oliver & Company,1988,,Disney Animation theatrical canon
28,The Little Mermaid,1989,,Disney Animation theatrical canon
29,The Rescuers Down Under,1990,,Disney Animation theatrical canon
30,Beauty and the Beast,1991,,Disney Animation theatrical canon
31,Aladdin,1992,,Disney Animation theatrical canon
32,The Lion King,1994,,Disney Animation theatrical canon
33,Pocahontas,1995,,Disney Animation theatrical canon
34,The Hunchback of Notre Dame,1996,,Disney Animation theatrical canon
35,Hercules,1997,,Disney Animation theatrical canon
36,Mulan,1998,,Disney Animation theatrical canon
37,Tarzan,1999,,Disney Animation theatrical canon
38,Fantasia 2000,1999,,Disney Animation theatrical canon
39,Dinosaur,2000,,Disney Animation theatrical canon
40,The Emperor's New Groove,2000,,Disney Animation theatrical canon
41,Atlantis: The Lost Empire,2001,,Disney Animation theatrical canon
42,Lilo & Stitch,2002,,Disney Animation theatrical canon
43,Treasure Planet,2002,,Disney Animation theatrical canon
44,Brother Bear,2003,,Disney Animation theatrical canon
45,Home on the Range,2004,,Disney Animation theatrical canon
46,Chicken Little,2005,,Disney Animation theatrical canon
47,Meet the Robinsons,2007,,Disney Animation theatrical canon
48,Bolt,2008,,Disney Animation theatrical canon
49,The Princess and the Frog,2009,,Disney Animation theatrical canon
50,Tangled,2010,,Disney Animation theatrical canon
51,Winnie the Pooh,2011,,Disney Animation theatrical canon
52,Wreck-It Ralph,2012,,Disney Animation theatrical canon
53,Frozen,2013,,Disney Animation theatrical canon
54,Big Hero 6,2014,,Disney Animation theatrical canon
55,Zootopia,2016,,Disney Animation theatrical canon
56,Moana,2016,,Disney Animation theatrical canon
57,Ralph Breaks the Internet,2018,,Disney Animation theatrical canon
58,Frozen II,2019,,Disney Animation theatrical canon
59,Raya and the Last Dragon,2021,,Disney Animation theatrical canon
60,Encanto,2021,,Disney Animation theatrical canon
61,Strange World,2022,,Disney Animation theatrical canon
62,Wish,2023,,Disney Animation theatrical canon
63,Moana 2,2024,,Disney Animation theatrical canon
64,Zootopia 2,2025,,Disney Animation theatrical canon
65,Hexed,2026,,Disney Animation theatrical canon; upcoming
