rank,title,year,tmdb_id,notes
1,Treasure Island,1950,,Disney family/live-action classic
2,"20,000 Leagues Under the Sea",1954,,Disney family/live-action classic
3,Davy Crockett King of the Wild Frontier,1955,,Disney family/live-action classic
4,Old Yeller,1957,,Disney family/live-action classic
5,Darby O'Gill and the Little People,1959,,Disney family/live-action classic
6,Pollyanna,1960,,Disney family/live-action classic
7,Swiss Family Robinson,1960,,Disney family/live-action classic
8,The Absent-Minded Professor,1961,,Disney family/live-action classic
9,The Parent Trap,1961,,Disney family/live-action classic
10,In Search of the Castaways,1962,,Disney family/live-action classic
11,The Incredible Journey,1963,,Disney family/live-action classic
12,Mary Poppins,1964,,Disney family/live-action classic
13,That Darn Cat!,1965,,Disney family/live-action classic
14,The Ugly Dachshund,1966,,Disney family/live-action classic
15,The Love Bug,1968,,Disney family/live-action classic
16,Bedknobs and Broomsticks,1971,,Disney family/live-action classic
17,The Computer Wore Tennis Shoes,1969,,Disney family/live-action classic
18,Escape to Witch Mountain,1975,,Disney family/live-action classic
19,Freaky Friday,1976,,Disney family/live-action classic
20,Pete's Dragon,1977,,Disney family/live-action classic
21,The Cat from Outer Space,1978,,Disney family/live-action classic
22,The Black Hole,1979,,Disney family/live-action classic
23,The Watcher in the Woods,1980,,Disney family/live-action classic
24,Tron,1982,,Disney family/live-action classic
25,Return to Oz,1985,,Disney family/live-action classic
26,Flight of the Navigator,1986,,Disney family/live-action classic
27,Honey I Shrunk the Kids,1989,,Disney family/live-action classic
28,The Rocketeer,1991,,Disney family/live-action classic
29,Newsies,1992,,Disney family/live-action classic
30,The Mighty Ducks,1992,,Disney family/live-action classic
31,Hocus Pocus,1993,,Disney family/live-action classic
32,Cool Runnings,1993,,Disney family/live-action classic
33,The Three Musketeers,1993,,Disney family/live-action classic
34,The Santa Clause,1994,,Disney family/live-action classic
35,A Goofy Movie,1995,,Disney family/live-action classic
36,Heavyweights,1995,,Disney family/live-action classic
37,James and the Giant Peach,1996,,Disney family/live-action classic
38,101 Dalmatians,1996,,Disney family/live-action classic
39,George of the Jungle,1997,,Disney family/live-action classic
40,The Parent Trap,1998,,Disney family/live-action classic
41,Mighty Joe Young,1998,,Disney family/live-action classic
42,The Straight Story,1999,,Disney family/live-action classic
43,Remember the Titans,2000,,Disney family/live-action classic
44,The Princess Diaries,2001,,Disney family/live-action classic
45,Holes,2003,,Disney family/live-action classic
46,Pirates of the Caribbean: The Curse of the Black Pearl,2003,,Disney family/live-action classic
47,Freaky Friday,2003,,Disney family/live-action classic
48,National Treasure,2004,,Disney family/live-action classic
49,Sky High,2005,,Disney family/live-action classic
50,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,2005,,Disney family/live-action classic
51,Enchanted,2007,,Disney family/live-action classic
52,Bridge to Terabithia,2007,,Disney family/live-action classic
53,Tron: Legacy,2010,,Disney family/live-action classic
54,The Muppets,2011,,Disney family/live-action classic
55,Saving Mr. Banks,2013,,Disney family/live-action classic
