rank,title,year,tmdb_id,notes
1,So Dear to My Heart,1948,,Disney vault/live-action deep catalog
2,The Story of Robin Hood and His Merrie Men,1952,,Disney vault/live-action deep catalog
3,The Sword and the Rose,1953,,Disney vault/live-action deep catalog
4,Rob Roy The Highland Rogue,1953,,Disney vault/live-action deep catalog
5,The Vanishing Prairie,1954,,Disney vault/live-action deep catalog
6,The Littlest Outlaw,1955,,Disney vault/live-action deep catalog
7,The Great Locomotive Chase,1956,,Disney vault/live-action deep catalog
8,Westward Ho the Wagons!,1956,,Disney vault/live-action deep catalog
9,Johnny Tremain,1957,,Disney vault/live-action deep catalog
10,Perri,1957,,Disney vault/live-action deep catalog
11,White Wilderness,1958,,Disney vault/live-action deep catalog
12,The Light in the Forest,1958,,Disney vault/live-action deep catalog
13,Tonka,1958,,Disney vault/live-action deep catalog
14,The Shaggy Dog,1959,,Disney vault/live-action deep catalog
15,Third Man on the Mountain,1959,,Disney vault/live-action deep catalog
16,Toby Tyler or Ten Weeks with a Circus,1960,,Disney vault/live-action deep catalog
17,Kidnapped,1960,,Disney vault/live-action deep catalog
18,Ten Who Dared,1960,,Disney vault/live-action deep catalog
19,The Sign of Zorro,1960,,Disney vault/live-action deep catalog
20,Greyfriars Bobby,1961,,Disney vault/live-action deep catalog
21,Nikki Wild Dog of the North,1961,,Disney vault/live-action deep catalog
22,Babes in Toyland,1961,,Disney vault/live-action deep catalog
23,Moon Pilot,1962,,Disney vault/live-action deep catalog
24,Bon Voyage!,1962,,Disney vault/live-action deep catalog
25,Big Red,1962,,Disney vault/live-action deep catalog
26,Almost Angels,1962,,Disney vault/live-action deep catalog
27,The Legend of Lobo,1962,,Disney vault/live-action deep catalog
28,Son of Flubber,1963,,Disney vault/live-action deep catalog
29,Miracle of the White Stallions,1963,,Disney vault/live-action deep catalog
30,Savage Sam,1963,,Disney vault/live-action deep catalog
31,Summer Magic,1963,,Disney vault/live-action deep catalog
32,The Three Lives of Thomasina,1963,,Disney vault/live-action deep catalog
33,The Misadventures of Merlin Jones,1964,,Disney vault/live-action deep catalog
34,Emil and the Detectives,1964,,Disney vault/live-action deep catalog
35,Those Calloways,1965,,Disney vault/live-action deep catalog
36,The Monkey's Uncle,1965,,Disney vault/live-action deep catalog
37,"Lt. Robin Crusoe, U.S.N.",1966,,Disney vault/live-action deep catalog
38,Monkeys Go Home!,1967,,Disney vault/live-action deep catalog
39,The Gnome-Mobile,1967,,Disney vault/live-action deep catalog
40,Blackbeard's Ghost,1968,,Disney vault/live-action deep catalog
41,The Horse in the Gray Flannel Suit,1968,,Disney vault/live-action deep catalog
42,The One and Only Genuine Original Family Band,1968,,Disney vault/live-action deep catalog
43,Smith!,1969,,Disney vault/live-action deep catalog
44,Rascal,1969,,Disney vault/live-action deep catalog
45,The Boatniks,1970,,Disney vault/live-action deep catalog
46,The Wild Country,1970,,Disney vault/live-action deep catalog
47,The Barefoot Executive,1971,,Disney vault/live-action deep catalog
48,The Million Dollar Duck,1971,,Disney vault/live-action deep catalog
49,The Biscuit Eater,1972,,Disney vault/live-action deep catalog
50,Now You See Him Now You Don't,1972,,Disney vault/live-action deep catalog
51,Napoleon and Samantha,1972,,Disney vault/live-action deep catalog
52,Snowball Express,1972,,Disney vault/live-action deep catalog
53,The World's Greatest Athlete,1973,,Disney vault/live-action deep catalog
54,Charley and the Angel,1973,,Disney vault/live-action deep catalog
55,One Little Indian,1973,,Disney vault/live-action deep catalog
56,Superdad,1973,,Disney vault/live-action deep catalog
57,The Castaway Cowboy,1974,,Disney vault/live-action deep catalog
58,The Island at the Top of the World,1974,,Disney vault/live-action deep catalog
59,The Strongest Man in the World,1975,,Disney vault/live-action deep catalog
60,The Apple Dumpling Gang,1975,,Disney vault/live-action deep catalog
61,No Deposit No Return,1976,,Disney vault/live-action deep catalog
62,Gus,1976,,Disney vault/live-action deep catalog
63,The Shaggy D.A.,1976,,Disney vault/live-action deep catalog
64,Candleshoe,1977,,Disney vault/live-action deep catalog
65,Herbie Goes to Monte Carlo,1977,,Disney vault/live-action deep catalog
66,Hot Lead and Cold Feet,1978,,Disney vault/live-action deep catalog
67,The North Avenue Irregulars,1979,,Disney vault/live-action deep catalog
68,The Apple Dumpling Gang Rides Again,1979,,Disney vault/live-action deep catalog
69,Herbie Goes Bananas,1980,,Disney vault/live-action deep catalog
70,Midnight Madness,1980,,Disney vault/live-action deep catalog
71,The Last Flight of Noah's Ark,1980,,Disney vault/live-action deep catalog
72,The Devil and Max Devlin,1981,,Disney vault/live-action deep catalog
73,Condorman,1981,,Disney vault/live-action deep catalog
74,Tex,1982,,Disney vault/live-action deep catalog
75,Never Cry Wolf,1983,,Disney vault/live-action deep catalog
76,Something Wicked This Way Comes,1983,,Disney vault/live-action deep catalog
77,Trenchcoat,1983,,Disney vault/live-action deep catalog
78,The Journey of Natty Gann,1985,,Disney vault/live-action deep catalog
79,One Magic Christmas,1985,,Disney vault/live-action deep catalog
80,Benji the Hunted,1987,,Disney vault/live-action deep catalog
81,White Fang,1991,,Disney vault/live-action deep catalog
82,Honey I Blew Up the Kid,1992,,Disney vault/live-action deep catalog
83,Homeward Bound: The Incredible Journey,1993,,Disney vault/live-action deep catalog
84,The Adventures of Huck Finn,1993,,Disney vault/live-action deep catalog
85,The Three Musketeers,1993,,Disney vault/live-action deep catalog
