rank,title,year,tmdb_id,notes
1,Nanook of the North,1922,,Essential documentary cinema
2,Man with a Movie Camera,1929,,Essential documentary cinema
3,Night and Fog,1956,,Essential documentary cinema
4,Chronicle of a Summer,1961,,Essential documentary cinema
5,Primary,1960,,Essential documentary cinema
6,Dont Look Back,1967,,Essential documentary cinema
7,Gimme Shelter,1970,,Essential documentary cinema
8,Grey Gardens,1975,,Essential documentary cinema
9,Harlan County USA,1976,,Essential documentary cinema
10,The Times of Harvey Milk,1984,,Essential documentary cinema
11,Shoah,1985,,Essential documentary cinema
12,The Thin Blue Line,1988,,Essential documentary cinema
13,Roger & Me,1989,,Essential documentary cinema
14,Paris Is Burning,1990,,Essential documentary cinema
15,Hearts of Darkness: A Filmmaker's Apocalypse,1991,,Essential documentary cinema
16,Hoop Dreams,1994,,Essential documentary cinema
17,Crumb,1994,,Essential documentary cinema
18,When We Were Kings,1996,,Essential documentary cinema
19,Buena Vista Social Club,1999,,Essential documentary cinema
20,Bowling for Columbine,2002,,Essential documentary cinema
21,Capturing the Friedmans,2003,,Essential documentary cinema
22,The Fog of War,2003,,Essential documentary cinema
23,Grizzly Man,2005,,Essential documentary cinema
24,An Inconvenient Truth,2006,,Essential documentary cinema
25,Man on Wire,2008,,Essential documentary cinema
26,The Act of Killing,2012,,Essential documentary cinema
27,Stories We Tell,2012,,Essential documentary cinema
28,The Look of Silence,2014,,Essential documentary cinema
29,O.J.: Made in America,2016,,Essential documentary cinema
30,I Am Not Your Negro,2016,,Essential documentary cinema
31,Faces Places,2017,,Essential documentary cinema
32,Won't You Be My Neighbor?,2018,,Essential documentary cinema
33,Free Solo,2018,,Essential documentary cinema
34,American Factory,2019,,Essential documentary cinema
35,Collective,2019,,Essential documentary cinema
