rank,title,year,tmdb_id,notes
1,Nosferatu,1922,,Genre pillar: horror classics
2,Frankenstein,1931,,Genre pillar: horror classics
3,Dracula,1931,,Genre pillar: horror classics
4,Bride of Frankenstein,1935,,Genre pillar: horror classics
5,Cat People,1942,,Genre pillar: horror classics
6,Diabolique,1955,,Genre pillar: horror classics
7,Psycho,1960,,Genre pillar: horror classics
8,Night of the Living Dead,1968,,Genre pillar: horror classics
9,Rosemary's Baby,1968,,Genre pillar: horror classics
10,The Exorcist,1973,,Genre pillar: horror classics
11,The Texas Chain Saw Massacre,1974,,Genre pillar: horror classics
12,Jaws,1975,,Genre pillar: horror classics
13,Carrie,1976,,Genre pillar: horror classics
14,Suspiria,1977,,Genre pillar: horror classics
15,Halloween,1978,,Genre pillar: horror classics
16,Dawn of the Dead,1978,,Genre pillar: horror classics
17,Alien,1979,,Genre pillar: horror classics
18,The Shining,1980,,Genre pillar: horror classics
19,An American Werewolf in London,1981,,Genre pillar: horror classics
20,The Thing,1982,,Genre pillar: horror classics
21,A Nightmare on Elm Street,1984,,Genre pillar: horror classics
22,The Fly,1986,,Genre pillar: horror classics
23,Scream,1996,,Genre pillar: horror classics
24,The Blair Witch Project,1999,,Genre pillar: horror classics
25,The Ring,2002,,Genre pillar: horror classics
26,Let the Right One In,2008,,Genre pillar: horror classics
27,The Babadook,2014,,Genre pillar: horror classics
28,It Follows,2014,,Genre pillar: horror classics
29,Get Out,2017,,Genre pillar: horror classics
30,Hereditary,2018,,Genre pillar: horror classics
