rank,title,year,tmdb_id,notes
1,Brown of Harvard,1926,117211,John Wayne as Yale Football Player; Uncredited; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
2,Bardelys the Magnificent,1926,128899,John Wayne as Guard; Uncredited; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
3,The Great K & A Train Robbery,1926,120828,John Wayne as Extra; Uncredited; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
4,Annie Laurie,1927,189682,John Wayne as Extra; Uncredited; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
5,The Draw-Back,1927,271417,John Wayne as Opposing Football Player; Short film; uncredited; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
6,The Drop Kick,1927,234275,John Wayne as Football Player / Extra in Stands; Uncredited; aka Glitter (UK title); source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
7,Mother Machree,1928,189962,John Wayne as Extra; Uncredited[b]; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
8,Four Sons,1928,95169,John Wayne as Officer; Uncredited[b]; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
9,Hangman's House,1928,113788,John Wayne as Horse Race Spectator / Condemned Man in Flashback; Uncredited[c]; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
10,A Home-Made Man,1928,522247,John Wayne as Man on Stool; Short film; uncredited; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
11,Noah's Ark,1928,104430,John Wayne as Flood extra; Uncredited; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
12,Speakeasy,1929,559431,John Wayne as Extra; Uncredited; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
13,The Black Watch,1929,206034,John Wayne as 42nd Highlander; Uncredited[d]; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
14,Words and Music,1929,305391,John Wayne as Pete Donahue; Credited as Duke Morrison[e]; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
15,Salute,1929,131362,John Wayne as Midshipman Bill; [f]; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
16,The Forward Pass,1929,283842,John Wayne as Football Player; Uncredited; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
17,Men Without Women,1930,166643,John Wayne as Radioman on Surface; Uncredited; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
18,Born Reckless,1930,94009,John Wayne as Extra; Uncredited; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
19,Rough Romance,1930,275447,John Wayne as Lumberjack; Uncredited[d]; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
20,Cheer Up and Smile,1930,261714,John Wayne as Roy; Uncredited[e]; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
21,The Big Trail,1930,42640,John Wayne as Breck Coleman; Wayne's first starring role; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
22,Girls Demand Excitement,1931,322145,John Wayne as Peter Brooks; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
23,Three Girls Lost,1931,425369,John Wayne as Gordon Wales; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
24,Arizona,1931,97963,John Wayne as Lt. Bob Denton; aka Men Are Like That and The Virtuous Wife (UK title); source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
25,The Deceiver,1931,600472,John Wayne as Richard Thorpe as a corpse; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
26,The Range Feud,1931,98413,John Wayne as Clint Turner; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
27,Maker of Men,1931,285409,John Wayne as Dusty Rhodes; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
28,The Shadow of the Eagle,1932,40725,John Wayne as Craig McCoy; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
29,Texas Cyclone,1932,84900,John Wayne as Steve Pickett; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
30,Two-Fisted Law,1932,84902,John Wayne as Duke; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
31,Lady and Gent,1932,173749,John Wayne as Buzz Kinney; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
32,The Hurricane Express,1932,38662,John Wayne as Larry Baker; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
33,"Ride Him, Cowboy",1932,82970,John Wayne as John Drury; aka The Hawk (UK title); source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
34,That's My Boy,1932,600611,John Wayne as Taylor - Harvard Player; Uncredited; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
35,The Big Stampede,1932,80193,John Wayne as John Steele; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
36,Haunted Gold,1932,73179,John Wayne as John Mason; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
37,The Telegraph Trail,1933,84906,John Wayne as John Trent; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
38,The Three Musketeers,1933,140887,John Wayne as Tom Wayne; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
39,Central Airport,1933,99729,John Wayne as Co-Pilot in Wreck; Uncredited; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
40,Somewhere in Sonora,1933,84905,John Wayne as John Bishop; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
41,His Private Secretary,1933,36499,John Wayne as Dick Wallace; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
42,The Life of Jimmy Dolan,1933,179155,John Wayne as Smith; aka The Kid's Last Fight (UK title); source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
43,Baby Face,1933,27449,John Wayne as Jimmy McCoy Jr.; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
44,The Man from Monterey,1933,80592,John Wayne as Captain John Holmes; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
45,Riders of Destiny,1933,23391,John Wayne as Singin' Sandy Saunders; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
46,College Coach,1933,160840,John Wayne as Student Greeting Phil; Uncredited; aka Football Coach (UK title); source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
47,Sagebrush Trail,1933,23590,John Wayne as John Brant aka Smith; aka An Innocent Man (UK title); source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
48,The Lucky Texan,1934,22612,John Wayne as Jerry Mason; aka Gold Strike River; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
49,West of the Divide,1934,40799,John Wayne as Ted Hayden posing as Gat Ganns; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
50,Blue Steel,1934,53828,John Wayne as John Carruthers; aka Stolen Goods (UK title).[63]; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
51,The Man from Utah,1934,53622,John Wayne as John Weston; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
52,Randy Rides Alone,1934,22602,John Wayne as Randy Bowers; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
53,The Star Packer,1934,38107,John Wayne as John Travers; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
54,The Trail Beyond,1934,40797,John Wayne as Rod Drew; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
55,The Lawless Frontier,1934,49640,John Wayne as John Tobin; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
