rank,title,year,tmdb_id,notes
1,Fast Times at Ridgemont High,1982,13342,Nicolas Cage as Dave / Brad's Bud; Credited as Nicolas Coppola; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
2,Valley Girl,1983,19053,Nicolas Cage as Randy; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
3,Rumble Fish,1983,232,Nicolas Cage as Smokey; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
4,Racing with the Moon,1984,47359,Nicolas Cage as Nicky / Bud; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
5,The Cotton Club,1984,2148,Nicolas Cage as Vincent Dwyer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
6,Birdy,1984,11296,Nicolas Cage as Al Columbato; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
7,The Boy in Blue,1986,83105,Nicolas Cage as Ned Hanlan; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
8,Peggy Sue Got Married,1986,10013,Nicolas Cage as Charlie Bodell; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
9,Raising Arizona,1987,378,Nicolas Cage as H.I. McDunnough; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
10,Moonstruck,1987,2039,Nicolas Cage as Ronny Cammareri; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
11,Vampire's Kiss,1989,7091,Nicolas Cage as Peter Loew; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
12,Time to Kill,1989,71642,Nicolas Cage as Enrico Silvestri; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
13,Never on Tuesday,1989,112019,Nicolas Cage as Man in red sports car; Direct-to-video; uncredited cameo; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
14,Wild at Heart,1990,483,Nicolas Cage as Sailor Ripley; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
15,Fire Birds,1990,6470,Nicolas Cage as Jake Preston; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
16,Industrial Symphony No. 1: The Dream of the Brokenhearted,1990,44257,Nicolas Cage as Heartbreaker; Concert film; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
17,Zandalee,1991,36630,Nicolas Cage as Johnny Collins; Direct-to-video; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
18,Honeymoon in Vegas,1992,12518,Nicolas Cage as Jack Singer; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
19,Amos & Andrew,1993,31000,Nicolas Cage as Amos Odell; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
20,Red Rock West,1993,10427,Nicolas Cage as Michael Williams; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
21,Deadfall,1993,33927,Nicolas Cage as Eddie; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
22,Guarding Tess,1994,6472,Nicolas Cage as Doug Chesnic; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
23,It Could Happen to You,1994,10660,Nicolas Cage as Charlie Lang; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
24,Trapped in Paradise,1994,23719,Nicolas Cage as Bill Firpo; source: Wikipedia filmography; TMDB ID cross-checked via Wikidata/TMDB
