rank,title,year,tmdb_id,notes
1,Goodfellas,1990,,Genre pillar: nineties crime and thriller
2,Miller's Crossing,1990,,Genre pillar: nineties crime and thriller
3,The Silence of the Lambs,1991,,Genre pillar: nineties crime and thriller
4,Reservoir Dogs,1992,,Genre pillar: nineties crime and thriller
5,Glengarry Glen Ross,1992,,Genre pillar: nineties crime and thriller
6,The Fugitive,1993,,Genre pillar: nineties crime and thriller
7,True Romance,1993,,Genre pillar: nineties crime and thriller
8,Carlito's Way,1993,,Genre pillar: nineties crime and thriller
9,Pulp Fiction,1994,,Genre pillar: nineties crime and thriller
10,Leon: The Professional,1994,,Genre pillar: nineties crime and thriller
11,Natural Born Killers,1994,,Genre pillar: nineties crime and thriller
12,Se7en,1995,,Genre pillar: nineties crime and thriller
13,Heat,1995,,Genre pillar: nineties crime and thriller
14,The Usual Suspects,1995,,Genre pillar: nineties crime and thriller
15,Fargo,1996,,Genre pillar: nineties crime and thriller
16,L.A. Confidential,1997,,Genre pillar: nineties crime and thriller
17,Jackie Brown,1997,,Genre pillar: nineties crime and thriller
18,Donnie Brasco,1997,,Genre pillar: nineties crime and thriller
19,The Game,1997,,Genre pillar: nineties crime and thriller
20,Out of Sight,1998,,Genre pillar: nineties crime and thriller
21,A Simple Plan,1998,,Genre pillar: nineties crime and thriller
22,The Insider,1999,,Genre pillar: nineties crime and thriller
23,The Talented Mr. Ripley,1999,,Genre pillar: nineties crime and thriller
24,Fight Club,1999,,Genre pillar: nineties crime and thriller
25,The Limey,1999,,Genre pillar: nineties crime and thriller
