rank,title,year,tmdb_id,notes
1,The Maltese Falcon,1941,,Genre pillar: noir essentials
2,Double Indemnity,1944,,Genre pillar: noir essentials
3,Laura,1944,,Genre pillar: noir essentials
4,Mildred Pierce,1945,,Genre pillar: noir essentials
5,Detour,1945,,Genre pillar: noir essentials
6,The Big Sleep,1946,,Genre pillar: noir essentials
7,Out of the Past,1947,,Genre pillar: noir essentials
8,The Lady from Shanghai,1947,,Genre pillar: noir essentials
9,The Third Man,1949,,Genre pillar: noir essentials
10,The Asphalt Jungle,1950,,Genre pillar: noir essentials
11,In a Lonely Place,1950,,Genre pillar: noir essentials
12,Sunset Boulevard,1950,,Genre pillar: noir essentials
13,Ace in the Hole,1951,,Genre pillar: noir essentials
14,The Big Heat,1953,,Genre pillar: noir essentials
15,Kiss Me Deadly,1955,,Genre pillar: noir essentials
16,The Killing,1956,,Genre pillar: noir essentials
17,Sweet Smell of Success,1957,,Genre pillar: noir essentials
18,Touch of Evil,1958,,Genre pillar: noir essentials
19,Night and the City,1950,,Genre pillar: noir essentials
20,The Night of the Hunter,1955,,Genre pillar: noir essentials
