rank,title,year,tmdb_id,notes
1,Toy Story,1995,,Pixar feature film
2,A Bug's Life,1998,,Pixar feature film
3,Toy Story 2,1999,,Pixar feature film
4,Monsters Inc.,2001,,Pixar feature film
5,Finding Nemo,2003,,Pixar feature film
6,The Incredibles,2004,,Pixar feature film
7,Cars,2006,,Pixar feature film
8,Ratatouille,2007,,Pixar feature film
9,WALL-E,2008,,Pixar feature film
10,Up,2009,,Pixar feature film
11,Toy Story 3,2010,,Pixar feature film
12,Cars 2,2011,,Pixar feature film
13,Brave,2012,,Pixar feature film
14,Monsters University,2013,,Pixar feature film
15,Inside Out,2015,,Pixar feature film
16,The Good Dinosaur,2015,,Pixar feature film
17,Finding Dory,2016,,Pixar feature film
18,Cars 3,2017,,Pixar feature film
19,Coco,2017,,Pixar feature film
20,Incredibles 2,2018,,Pixar feature film
21,Toy Story 4,2019,,Pixar feature film
22,Onward,2020,,Pixar feature film
23,Soul,2020,,Pixar feature film
24,Luca,2021,,Pixar feature film
25,Turning Red,2022,,Pixar feature film
26,Lightyear,2022,,Pixar feature film
27,Elemental,2023,,Pixar feature film
28,Inside Out 2,2024,,Pixar feature film
29,Elio,2025,,Pixar feature film
30,Hoppers,2026,,Pixar feature film
31,Toy Story 5,2026,,Pixar feature film
