rank,title,year,tmdb_id,notes
1,Metropolis,1927,,Genre pillar: sci-fi essentials
2,The Day the Earth Stood Still,1951,,Genre pillar: sci-fi essentials
3,Forbidden Planet,1956,,Genre pillar: sci-fi essentials
4,Planet of the Apes,1968,,Genre pillar: sci-fi essentials
5,2001: A Space Odyssey,1968,,Genre pillar: sci-fi essentials
6,Solaris,1972,,Genre pillar: sci-fi essentials
7,A Clockwork Orange,1971,,Genre pillar: sci-fi essentials
8,Star Wars,1977,,Genre pillar: sci-fi essentials
9,Close Encounters of the Third Kind,1977,,Genre pillar: sci-fi essentials
10,Alien,1979,,Genre pillar: sci-fi essentials
11,Blade Runner,1982,,Genre pillar: sci-fi essentials
12,The Thing,1982,,Genre pillar: sci-fi essentials
13,The Terminator,1984,,Genre pillar: sci-fi essentials
14,Back to the Future,1985,,Genre pillar: sci-fi essentials
15,Aliens,1986,,Genre pillar: sci-fi essentials
16,RoboCop,1987,,Genre pillar: sci-fi essentials
17,Total Recall,1990,,Genre pillar: sci-fi essentials
18,Terminator 2: Judgment Day,1991,,Genre pillar: sci-fi essentials
19,Jurassic Park,1993,,Genre pillar: sci-fi essentials
20,The Matrix,1999,,Genre pillar: sci-fi essentials
21,Children of Men,2006,,Genre pillar: sci-fi essentials
22,WALL-E,2008,,Genre pillar: sci-fi essentials
23,District 9,2009,,Genre pillar: sci-fi essentials
24,Inception,2010,,Genre pillar: sci-fi essentials
25,Arrival,2016,,Genre pillar: sci-fi essentials
26,Blade Runner 2049,2017,,Genre pillar: sci-fi essentials
27,Dune,2021,,Genre pillar: sci-fi essentials
