rank,title,year,tmdb_id,notes
1,Five Easy Pieces,1970,,Genre pillar: seventies New Hollywood
2,The Last Picture Show,1971,,Genre pillar: seventies New Hollywood
3,The French Connection,1971,,Genre pillar: seventies New Hollywood
4,A Clockwork Orange,1971,,Genre pillar: seventies New Hollywood
5,The Godfather,1972,,Genre pillar: seventies New Hollywood
6,Badlands,1973,,Genre pillar: seventies New Hollywood
7,Mean Streets,1973,,Genre pillar: seventies New Hollywood
8,The Exorcist,1973,,Genre pillar: seventies New Hollywood
9,Chinatown,1974,,Genre pillar: seventies New Hollywood
10,The Conversation,1974,,Genre pillar: seventies New Hollywood
11,The Godfather Part II,1974,,Genre pillar: seventies New Hollywood
12,Alice Doesn't Live Here Anymore,1974,,Genre pillar: seventies New Hollywood
13,Dog Day Afternoon,1975,,Genre pillar: seventies New Hollywood
14,Jaws,1975,,Genre pillar: seventies New Hollywood
15,Nashville,1975,,Genre pillar: seventies New Hollywood
16,One Flew Over the Cuckoo's Nest,1975,,Genre pillar: seventies New Hollywood
17,Taxi Driver,1976,,Genre pillar: seventies New Hollywood
18,All the President's Men,1976,,Genre pillar: seventies New Hollywood
19,Network,1976,,Genre pillar: seventies New Hollywood
20,Carrie,1976,,Genre pillar: seventies New Hollywood
21,Annie Hall,1977,,Genre pillar: seventies New Hollywood
22,Star Wars,1977,,Genre pillar: seventies New Hollywood
23,Close Encounters of the Third Kind,1977,,Genre pillar: seventies New Hollywood
24,The Deer Hunter,1978,,Genre pillar: seventies New Hollywood
25,Apocalypse Now,1979,,Genre pillar: seventies New Hollywood
26,Alien,1979,,Genre pillar: seventies New Hollywood
27,Kramer vs. Kramer,1979,,Genre pillar: seventies New Hollywood
