rank,title,year,tmdb_id,notes
1,Stagecoach,1939,,Genre pillar: western essentials
2,My Darling Clementine,1946,,Genre pillar: western essentials
3,Red River,1948,,Genre pillar: western essentials
4,Winchester '73,1950,,Genre pillar: western essentials
5,High Noon,1952,,Genre pillar: western essentials
6,Shane,1953,,Genre pillar: western essentials
7,The Searchers,1956,,Genre pillar: western essentials
8,Rio Bravo,1959,,Genre pillar: western essentials
9,The Magnificent Seven,1960,,Genre pillar: western essentials
10,The Man Who Shot Liberty Valance,1962,,Genre pillar: western essentials
11,A Fistful of Dollars,1964,,Genre pillar: western essentials
12,For a Few Dollars More,1965,,Genre pillar: western essentials
13,"The Good, the Bad and the Ugly",1966,,Genre pillar: western essentials
14,Once Upon a Time in the West,1968,,Genre pillar: western essentials
15,The Wild Bunch,1969,,Genre pillar: western essentials
16,McCabe & Mrs. Miller,1971,,Genre pillar: western essentials
17,High Plains Drifter,1973,,Genre pillar: western essentials
18,The Outlaw Josey Wales,1976,,Genre pillar: western essentials
19,Unforgiven,1992,,Genre pillar: western essentials
20,Tombstone,1993,,Genre pillar: western essentials
21,Dead Man,1995,,Genre pillar: western essentials
22,The Assassination of Jesse James by the Coward Robert Ford,2007,,Genre pillar: western essentials
23,True Grit,2010,,Genre pillar: western essentials
24,The Hateful Eight,2015,,Genre pillar: western essentials
25,The Power of the Dog,2021,,Genre pillar: western essentials
