rank,title,year,tmdb_id,notes
1,M,1931,,Essential world cinema
2,Bicycle Thieves,1948,,Essential world cinema
3,Rashomon,1950,,Essential world cinema
4,Ugetsu,1953,,Essential world cinema
5,Ikiru,1952,,Essential world cinema
6,The Wages of Fear,1953,,Essential world cinema
7,Pather Panchali,1955,,Essential world cinema
8,Wild Strawberries,1957,,Essential world cinema
9,The Seventh Seal,1957,,Essential world cinema
10,The Cranes Are Flying,1957,,Essential world cinema
11,Hiroshima Mon Amour,1959,,Essential world cinema
12,La Dolce Vita,1960,,Essential world cinema
13,Jules and Jim,1962,,Essential world cinema
14,The Leopard,1963,,Essential world cinema
15,High and Low,1963,,Essential world cinema
16,The Umbrellas of Cherbourg,1964,,Essential world cinema
17,Woman in the Dunes,1964,,Essential world cinema
18,A Man Escaped,1956,,Essential world cinema
19,The Conformist,1970,,Essential world cinema
20,Aguirre the Wrath of God,1972,,Essential world cinema
21,The Spirit of the Beehive,1973,,Essential world cinema
22,Ali: Fear Eats the Soul,1974,,Essential world cinema
23,Mirror,1975,,Essential world cinema
24,Come and See,1985,,Essential world cinema
25,Cinema Paradiso,1988,,Essential world cinema
26,Raise the Red Lantern,1991,,Essential world cinema
27,Three Colors: Blue,1993,,Essential world cinema
28,Chungking Express,1994,,Essential world cinema
29,Central Station,1998,,Essential world cinema
30,Amelie,2001,,Essential world cinema
31,City of God,2002,,Essential world cinema
32,Oldboy,2003,,Essential world cinema
33,Pan's Labyrinth,2006,,Essential world cinema
34,A Separation,2011,,Essential world cinema
35,Parasite,2019,,Essential world cinema
